game_id,name,total_review,positive_percent
413150,Stardew Valley,"740,693",98%
620,Portal 2,"356,305",98%
2379780,Balatro,"112,396",98%
1145360,Hades,"256,503",98%
2527500,MiSide,"92,846",98%
294100,RimWorld,"174,981",97%
524220,NieRAutomata,"102,411",88%
2183900,"Warhammer 40,000: Space Marine 2","113,946",83%
1295660,Sid Meier's Civilization VII,"29,181",49%
1172470,Apex Legends,"985,721",67%
1240440,Halo_Infinite,"175,801",69%
1124300,HUMANKIND,"20,870",67%
2878980,NBA 2K25,"16,982",59%
216150,MapleStory,"13,600",63%
1180320,War_of_the_Three_Kingdoms,"66,474",10%
730,Counter-Strike 2,"8,682,047",86%
2357570,OverwatchÂ® 2,"335,436",23%
1367080,MOBILE SUIT GUNDAM BATTLE OPERATION 2,"19,731",21%
2537590,Microsoft Flight Simulator 2024,"12,116",45%
